NULL,Uitvaartcentrum Duin,nee,
NULL,Yarden,ja,
NULL,Dunweg,ja ,
NULL,Bennis Uitvaart,nee,
NULL,Dela,ja ,zaterdag niet mogelijk werken ook met bloemenkas.
NULL,Yardenhuis van Rotterdam,nee,
NULL,Uitvaartcentrum Leidschendam-Voorburg ,nee,
NULL,Beukenhof,nee,
NULL,Uitvaartcentrum Kranenburg,nee,bloemenkast met code
NULL,Uitvaartzorg Boerhaavelaan,ja,"Tussen 9,00 en 17,00"
NULL,Draagt Elkanders Lasten ,ja,
NULL,Yardenhuis van Schagen,ja,afgeven bij administratie aan de achterkant
NULL,Assosiatie Uitvaartverzorging,ja,door de weeks tussen 9 en 16 uur iemand aanwezig om te tekenen. Zaterdag in de kas leggen. Achter het pand
NULL,De nieuwe Ooster,ja,Ook op zaterdag is voor hun een normale werkdag.
NULL,J Henning ,nee,Bloemenkast
NULL,Het Afscheidshuys,nee,Bloemenkast
NULL,Waerdse Landen,ja,Van half 9 tot 17:00 uur
NULL,Hofwijk,ja,Alleen op de dag van de uitvaart!! 
NULL,Rijtackers,ja,kantoortijden
NULL,Dela Roosendaal,ja,
NULL,'t kruispunt,nee,afspraak maken
NULL,Rouwcentrum de Palm,nee,bloemenkast en formulier
NULL,Monuta Ogier,nee,Bloemenkast
NULL,Uitvaartcentrum zuid,ja ,kantoortijden
NULL,boschhuizen Dela,nee,bloemenkast en formulier
NULL,Begraafplaats Essenhof,nee,bloemenkast en formulier
NULL,Eeken,nee,Beperkte tijden + afspraak maken.
NULL,Uitvaartcentrum Watergraafsmeer van PC Uitvaart ,nee,Beperkte tijden
NULL,Monuta wilco Leukenhaus,nee,doorgeven aan duivenvoorde
NULL,Begraafplaats Holy,nee,
NULL,Goetzee Dela,nee,bloemenkast met lijst
NULL,Monuta Uitvaartcentrum Amersfoort,nee,bloemenkast en hek met code
NULL,Uitvaartcentrum Bruijns Oosterhout ,nee,leveranciers ingang aan de achterkant
NULL,Boerderij Moskowa ,nee,bloemenkast en code
NULL,Den en Rust,nee,niet altijd iemand aanwezig om te helpen met bloemen
NULL,Dela,nee,bloemenkast en formulier
NULL,Monuta Memoriam,nee,bloemenkast code 1999
NULL,Waalstede,ja,kantoortijden
NULL,Westerhuis,nee,
NULL,Westgaarde,ja,
NULL,Boskamp,ja,"Tot 16,30"
NULL,Ockenburg,nee,
NULL,DELU,nee,
NULL,The Funeral Drechtstreek & Timmers ,nee,bellen voor een code
NULL,Dela,ja,"Tussen 9,00 en 17,00"
NULL,monuta ,nee,
NULL,domstede,ja,Voor 16.00
NULL,Monuta Uitvaartcentrum Almere,nee,Bloemenkast
NULL,Van Vuure,nee ,Bloemenkast
NULL,Zaanstad,ja,"zaterdag tot 11,00"
NULL,crematorium jonkerbos ,ja ,kantoortijden ma tm vrij
NULL,Crematorium en Uitvaartcentrum Hoorn,ja,
NULL,Bennis Uitvaart,nee,bloemenkast met code
NULL,Henning,nee,
NULL,Uitvaartcentrum Dekker,nee,
NULL,Cuvo Haagse duinen,nee,
NULL,monuta ,nee,
NULL,van der stappen,ja,kantoortijden en zaterdag tot 16.00
NULL,de linge,nee,
NULL,Achterberg Uitvaartcentrum,ja,9:30 – 16:30
NULL,hart van berkelland,nee,bloemenkast achterzijde pand
NULL,VREDEHOF,nee,bloemenkamer
NULL,De Ommering,ja,Tussen 9:00 uur en 16:00
NULL,vd weerd,nee,
NULL,RGU DELA,nee,
NULL,Monuta van der Togt ,nee,
NULL,Yarden van Lelystad,ja, Ma – za 
NULL,dela,ja,
NULL,de haan vd kamp dela,nee,
NULL,Noorderveld,ja,
NULL,Tussen de Bergen,ja ,maar toch wel bellen voor de zekerheid
NULL,Afscheidshuis de Uytvaert ,nee,
NULL,Uitvaartcentrum Leijsenakkers DELA Oosterhout,nee,
NULL,Begrafenisonderneming G Leeuw ,nee,
NULL,Crematorium Maaslanden ,nee,
NULL,monuta ,ja ,
NULL,monuta,nee,
NULL,Haarlemmermeer,nee,"soms wel soms niet, dus bellen"
NULL,monuta ,nee,
NULL,Waaijer,ja,
NULL,Hoeksche Waard,ja,Altijd even bellen van te voren
